owc_id,hraf_name,sccs_group,highest_bt,bt,latitude,longitude
AD05,Taiwan Hokkien,,Asia,East Asia,,
AH06,Inner Mongolia,,Asia,Central Asia,,
AI01,Xinjiang Uygur Autonomous Region,,Asia,Central Asia,,
AI04,Uyghur,,Asia,Central Asia,,
AU07,Ghorbat,,Asia,Central Asia,,
EF05,Montenegrins,,Europe,Southeastern Europe,,
EF07,Slovenes,,Europe,Southeastern Europe,,
EF09,Bosnian Muslims,,Europe,Southeastern Europe,,
ES03,British (1714-1815),,Europe,British Isles,,
ES10,Highland Scots,,Europe,British Isles,,
ES14,British (1485-1603),,Europe,British Isles,,
MF07,Israelites,44,Middle East,Middle East,,
MJ04,Bedouin,,Middle East,Middle East,,
N009,North American Hmong,,North America,"Regional, Ethnic and Diaspora Cultures",,
N010,Italian Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
N011,North American Hasidic Jews,,North America,"Regional, Ethnic and Diaspora Cultures",,
N017,Serbian Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
N018,Basque Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
N019,Korean Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
NC06,Italian Canadians,,North America,"Regional, Ethnic and Diaspora Cultures",,
NG05,Huron/Wendat,144,North America,Eastern Woodlands,,
NK04,African Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
NK05,Puerto Ricans (Mainland),,North America,"Regional, Ethnic and Diaspora Cultures",,
NK06,Chinese Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
NK07,Haitian Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
NK08,Cuban Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
NK09,Arab Americans,,North America,"Regional, Ethnic and Diaspora Cultures",,
NN23,Gullah Geechee,,North America,"Regional, Ethnic and Diaspora Cultures",,
NQ22,Osage,,North America,Plains and Plateau,,
NR26,Southern Coast Salish,133,North America,Northwest Coast and California,,
NW10,Quiché Maya,155,Middle America and the Caribbean,Maya Area,,
OC13,Rungus Dusun,,Asia,Southeast Asia,,
OL07,Northeastern Massim,,Oceania,Melanesia,,
ON26,Tinputz,,Oceania,Melanesia,,
RO02,Tajiks,,Asia,Central Asia,,
RP02,Kyrgyz,,Asia,Central Asia,,
SD15,Quito Quichua,,South America,Central Andes,,
SD16,Otavalo Quichua,,South America,Central Andes,,
SD17,Saraguro Quichua,,South America,Central Andes,,
SD18,Canelos Quichua,,South America,Amazon and Orinoco,,
SE26,Shipibo,,South America,Amazon and Orinoco,,
SK04,Gran Chaco,,South America,Southern South America,,
SK15,Enxet and Enlhet,182,South America,Southern South America,,
SU01,Puerto Ricans (Island),,Middle America and the Caribbean,Caribbean,,
SV02,Dominican Republic,,Middle America and the Caribbean,Caribbean,,
